subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
ب・unclaimed・53,ب・unclaimed・53,1499471917185368247,1508073942370226237,https://discord.com/channels/799672011265015819/1499471917185368247/1508073942370226237,0,5,5,bunk,0,target-verified,2026-05-24T22:10:21.770Z
ت・miid・54,ت・miid・54,1351934165964296232,1508073936288747680,https://discord.com/channels/799672011265015819/1351934165964296232/1508073936288747680,9,0,9,legit,0,target-verified,2026-05-24T22:10:28.272Z
ث・niome・55,ث・niome・55,1465796313877577903,1508073926025023499,https://discord.com/channels/799672011265015819/1465796313877577903/1508073926025023499,19,6,25,legit,1,target-verified,2026-05-24T22:10:33.327Z
ج・gradients・56,ج・gradients・56,1311360495428702240,1508073919603540100,https://discord.com/channels/799672011265015819/1311360495428702240/1508073919603540100,15,6,21,legit,1,target-verified,2026-05-24T22:10:38.803Z
ح・unclaimed・57,ح・unclaimed・57,1498317068238327928,1508073909117915317,https://discord.com/channels/799672011265015819/1498317068238327928/1508073909117915317,0,5,5,bunk,0,target-verified,2026-05-24T22:10:51.147Z
خ・handshake・58,خ・handshake・58,1471865964479119604,1508073899076878396,https://discord.com/channels/799672011265015819/1471865964479119604/1508073899076878396,1,7,8,bunk,0,target-verified,2026-05-24T22:10:56.411Z
د・babelbiτ・59,د・babelbiτ・59,1407849009976053832,1508073893217173644,https://discord.com/channels/799672011265015819/1407849009976053832/1508073893217173644,14,7,21,legit,1,target-verified,2026-05-24T22:11:01.959Z
ذ・bitsec・60,ذ・bitsec・60,1300553352274382848,1508073883251507220,https://discord.com/channels/799672011265015819/1300553352274382848/1508073883251507220,13,9,22,legit,0,target-verified,2026-05-24T22:11:08.058Z
ر・red-team・61,ر・red-team・61,1319313447435108413,1508073877195063316,https://discord.com/channels/799672011265015819/1319313447435108413/1508073877195063316,14,2,16,legit,0,target-verified,2026-05-24T22:11:14.804Z
ل・ridges・62,ل・ridges・62,1320812830735339580,1508073866667233290,https://discord.com/channels/799672011265015819/1320812830735339580/1508073866667233290,4,48,52,bunk,3,target-verified,2026-05-24T22:11:20.018Z
س・enigma・63,س・enigma・63,1488231141126177040,1508073856911282338,https://discord.com/channels/799672011265015819/1488231141126177040/1508073856911282338,5,1,6,legit,0,target-verified,2026-05-24T22:11:25.434Z
ش・chutes・64,ش・chutes・64,1320739778534047785,1508073852012593192,https://discord.com/channels/799672011265015819/1320739778534047785/1508073852012593192,41,0,41,legit,4,target-verified,2026-05-24T22:11:30.494Z
ص・τpn・65,ص・τpn・65,1342275465267642408,1508073845704097903,https://discord.com/channels/799672011265015819/1342275465267642408/1508073845704097903,7,7,14,tie,0,target-verified,2026-05-24T22:11:36.016Z
ض・ninja・66,ض・ninja・66,1486739181093785600,1508073841820172390,https://discord.com/channels/799672011265015819/1486739181093785600/1508073841820172390,67,0,67,legit,94,target-verified,2026-05-24T22:11:40.956Z
ط・harnyx・67,ط・harnyx・67,1457737666316472351,1508073838448087162,https://discord.com/channels/799672011265015819/1457737666316472351/1508073838448087162,7,1,8,legit,0,target-verified,2026-05-24T22:11:45.880Z
ظ・nova・68,ظ・nova・68,1345470582161936405,1508073832538439810,https://discord.com/channels/799672011265015819/1345470582161936405/1508073832538439810,25,5,30,legit,0,target-verified,2026-05-24T22:11:51.036Z
ع・unclaimed・69,ع・unclaimed・69,1349118519198875778,1508073828130230413,https://discord.com/channels/799672011265015819/1349118519198875778/1508073828130230413,0,6,6,bunk,0,target-verified,2026-05-24T22:12:02.615Z
غ・nexisgen・70,غ・nexisgen・70,1485641858829779015,1508073824594427954,https://discord.com/channels/799672011265015819/1485641858829779015/1508073824594427954,10,3,13,legit,0,target-verified,2026-05-24T22:12:08.581Z
ف・leadpoeτ・71,ف・leadpoeτ・71,1349121405903573114,1508073820898988104,https://discord.com/channels/799672011265015819/1349121405903573114/1508073820898988104,14,3,17,legit,0,target-verified,2026-05-24T22:12:14.154Z
ق・sτreeτvision・72,ق・sτreeτvision・72,1349122541754515538,1508073815207317504,https://discord.com/channels/799672011265015819/1349122541754515538/1508073815207317504,7,3,10,legit,0,target-verified,2026-05-24T22:12:19.292Z
ك・parked・73,ك・parked・73,1498317342890004601,1508073811033985126,https://discord.com/channels/799672011265015819/1498317342890004601/1508073811033985126,5,3,8,legit,0,target-verified,2026-05-24T22:12:24.755Z
ل・giττensor・74,ل・giττensor・74,1349123574820245534,1508073807888384040,https://discord.com/channels/799672011265015819/1349123574820245534/1508073807888384040,27,4,31,legit,0,target-verified,2026-05-24T22:12:30.522Z
م・hippius・75,م・hippius・75,1349124437752152075,1508073803702603806,https://discord.com/channels/799672011265015819/1349124437752152075/1508073803702603806,25,5,30,legit,1,target-verified,2026-05-24T22:12:35.720Z
ن・byzantium・76,ن・byzantium・76,1474042162877300776,1508073797637640283,https://discord.com/channels/799672011265015819/1474042162877300776/1508073797637640283,1,10,11,bunk,0,target-verified,2026-05-24T22:12:40.545Z
ه・liquidity・77,ه・liquidity・77,1351180132295118848,1508073794001047552,https://discord.com/channels/799672011265015819/1351180132295118848/1508073794001047552,5,3,8,legit,0,target-verified,2026-05-24T22:12:47.174Z
و・vocence・78,و・vocence・78,1493995769601065061,1508073788003188908,https://discord.com/channels/799672011265015819/1493995769601065061/1508073788003188908,11,4,15,legit,0,target-verified,2026-05-24T22:12:52.804Z
ي・m∧τrx・79,ي・m∧τrx・79,1353733356470276096,1508073783934582834,https://discord.com/channels/799672011265015819/1353733356470276096/1508073783934582834,24,10,34,legit,0,target-verified,2026-05-24T22:19:32.776Z
՞・dogelayer・80,՞・dogelayer・80,1441450194330718300,1508073780163907705,https://discord.com/channels/799672011265015819/1441450194330718300/1508073780163907705,4,19,23,bunk,0,target-verified,2026-05-24T22:13:03.471Z
