"subnet","channelId","messageId","up","down","total","status","messageUrl"
"ذ・bitsec・60","1300553352274382848","1508073883251507220","14","7","21","verified","https://discord.com/channels/799672011265015819/1300553352274382848/1508073883251507220"
"ر・red-team・61","1319313447435108413","1508073877195063316","12","2","14","verified","https://discord.com/channels/799672011265015819/1319313447435108413/1508073877195063316"
"ل・ridges・62","1320812830735339580","1508073866667233290","13","41","54","verified","https://discord.com/channels/799672011265015819/1320812830735339580/1508073866667233290"
"س・enigma・63","1488231141126177040","1508073856911282338","3","1","4","ok","https://discord.com/channels/799672011265015819/1488231141126177040/1508073856911282338"
"ش・chutes・64","1320739778534047785","1508073852012593192","34","0","34","verified","https://discord.com/channels/799672011265015819/1320739778534047785/1508073852012593192"
"ص・τpn・65","1342275465267642408","1508073845704097903","4","4","8","ok","https://discord.com/channels/799672011265015819/1342275465267642408/1508073845704097903"
"ض・ninja・66","1486739181093785600","1508073841820172390","96","2","98","verified","https://discord.com/channels/799672011265015819/1486739181093785600/1508073841820172390"
"ط・harnyx・67","1457737666316472351","1508073838448087162","3","1","4","ok","https://discord.com/channels/799672011265015819/1457737666316472351/1508073838448087162"
"ظ・nova・68","1345470582161936405","1508073832538439810","14","3","17","ok","https://discord.com/channels/799672011265015819/1345470582161936405/1508073832538439810"
"ع・unclaimed・69","1349118519198875778","1508073828130230413","0","3","3","ok","https://discord.com/channels/799672011265015819/1349118519198875778/1508073828130230413"
"غ・nexisgen・70","1485641858829779015","1508073824594427954","9","1","10","verified","https://discord.com/channels/799672011265015819/1485641858829779015/1508073824594427954"
"ف・leadpoeτ・71","1349121405903573114","1508073820898988104","4","2","6","ok","https://discord.com/channels/799672011265015819/1349121405903573114/1508073820898988104"
"ق・sτreeτvision・72","1349122541754515538","1508073815207317504","4","1","5","ok","https://discord.com/channels/799672011265015819/1349122541754515538/1508073815207317504"
"ك・parked・73","1498317342890004601","1508073811033985126","1","1","2","ok","https://discord.com/channels/799672011265015819/1498317342890004601/1508073811033985126"
"ل・giττensor・74","1349123574820245534","1508073807888384040","10","4","14","ok","https://discord.com/channels/799672011265015819/1349123574820245534/1508073807888384040"
"م・hippius・75","1349124437752152075","1508073803702603806","13","3","16","ok","https://discord.com/channels/799672011265015819/1349124437752152075/1508073803702603806"
"ن・byzantium・76","1474042162877300776","1508073797637640283","1","4","5","verified","https://discord.com/channels/799672011265015819/1474042162877300776/1508073797637640283"
"ه・liquidity・77","1351180132295118848","1508073794001047552","4","1","5","verified","https://discord.com/channels/799672011265015819/1351180132295118848/1508073794001047552"
"و・vocence・78","1493995769601065061","1508073788003188908","9","1","10","verified","https://discord.com/channels/799672011265015819/1493995769601065061/1508073788003188908"
"ي・m∧τrx・79","1353733356470276096","1508073783934582834","8","7","15","ok","https://discord.com/channels/799672011265015819/1353733356470276096/1508073783934582834"
"՞・dogelayer・80","1441450194330718300","1508073780163907705","4","11","15","ok","https://discord.com/channels/799672011265015819/1441450194330718300/1508073780163907705"
"ᚠ・reliquary・81","1493247592551678012","1508073774853914624","0","0","0","ok","https://discord.com/channels/799672011265015819/1493247592551678012/1508073774853914624"
"ᚢ・compelle・82","1496611222945005660","1508073771905323009","11","5","16","ok","https://discord.com/channels/799672011265015819/1496611222945005660/1508073771905323009"
"ᚦ・cliqueai・83","1355560253076410428","1508073767148982382","6","12","18","target-verified","https://discord.com/channels/799672011265015819/1355560253076410428/1508073767148982382"
"ᚨ・droid・84","1499772113484124270","1508073761516290180","0","15","15","ok","https://discord.com/channels/799672011265015819/1499772113484124270/1508073761516290180"
"ᚱ・vidaio・85","1342559689690583202","1508073757577707550","9","9","18","ok","https://discord.com/channels/799672011265015819/1342559689690583202/1508073757577707550"
"ᚳ・unclaimed・86","1440729803698470993","1508073753630871612","0","1","1","ok","https://discord.com/channels/799672011265015819/1440729803698470993/1508073753630871612"
"ы・luminar・87","1409555541910355998","1508073748060700805","8","3","11","target-verified","https://discord.com/channels/799672011265015819/1409555541910355998/1508073748060700805"
"ᛇ・invesτing・88","1358854051634221328","1508073743878983781","6","0","6","ok","https://discord.com/channels/799672011265015819/1358854051634221328/1508073743878983781"
"ᛒ・infiniτehash・89","1359592408119120033","1508073740448305242","3","0","3","verified","https://discord.com/channels/799672011265015819/1359592408119120033/1508073740448305242"
"_・unclaimed・90","1448063556368076941","1508073734559498252","1","0","1","target-verified","https://discord.com/channels/799672011265015819/1448063556368076941/1508073734559498252"
"ᚁ・biτsτarτer-1・91","1479211355595866327","1508073730969178163","0","1","1","ok","https://discord.com/channels/799672011265015819/1479211355595866327/1508073730969178163"
"ᚂ・τensorclaw・92","1503377929269416028","1508073727533781002","0","9","9","ok","https://discord.com/channels/799672011265015819/1503377929269416028/1508073727533781002"
"ᚃ・biτcasτ・93","1362489640841380045","1508073721779326986","6","0","6","target-verified","https://discord.com/channels/799672011265015819/1362489640841380045/1508073721779326986"
