subnet,channelName,channelId,messageId,messageUrl,up,down,total,scrapeStatus
ץ・zipcode・46,ץ・zipcode・46,1397618038894759956,1508074412161761412,https://discord.com/channels/799672011265015819/1397618038894759956/1508074412161761412,13,7,20,verified
צ・evolai・47,צ・evolai・47,1463546702383550545,1508074404612018296,https://discord.com/channels/799672011265015819/1463546702383550545/1508074404612018296,5,0,5,verified
ק・quantum-c・48,ק・quantum-c・48,1407438037956427960,1508074398358175744,https://discord.com/channels/799672011265015819/1407438037956427960/1508074398358175744,1,1,2,verified
ר・nepher・49,ר・nepher・49,1434923225229295697,1508074390535798906,https://discord.com/channels/799672011265015819/1434923225229295697/1508074390535798906,9,3,12,verified
ש・synth・50,ש・synth・50,1311109830282313781,1508074381325373450,https://discord.com/channels/799672011265015819/1311109830282313781/1508074381325373450,13,1,14,verified
ⱄ・lium-io・51,ⱄ・lium-io・51,1291754566957928469,1508073959118344202,https://discord.com/channels/799672011265015819/1291754566957928469/1508073959118344202,0,0,0,verified
ا・dojo・52,ا・dojo・52,1213131262483628102,1508073953279737966,https://discord.com/channels/799672011265015819/1213131262483628102/1508073953279737966,0,7,7,verified
ب・unclaimed・53,ب・unclaimed・53,1499471917185368247,1508073942370226237,https://discord.com/channels/799672011265015819/1499471917185368247/1508073942370226237,0,0,0,verified
ت・miid・54,ت・miid・54,1351934165964296232,1508073936288747680,https://discord.com/channels/799672011265015819/1351934165964296232/1508073936288747680,0,0,0,verified
ث・niome・55,ث・niome・55,1465796313877577903,1508073926025023499,https://discord.com/channels/799672011265015819/1465796313877577903/1508073926025023499,17,6,23,verified
ج・gradients・56,ج・gradients・56,1311360495428702240,1508073919603540100,https://discord.com/channels/799672011265015819/1311360495428702240/1508073919603540100,15,5,20,verified
ح・unclaimed・57,ح・unclaimed・57,1498317068238327928,1508073909117915317,https://discord.com/channels/799672011265015819/1498317068238327928/1508073909117915317,0,2,2,verified
خ・handshake・58,خ・handshake・58,1471865964479119604,1508073899076878396,https://discord.com/channels/799672011265015819/1471865964479119604/1508073899076878396,1,2,3,verified
د・babelbiτ・59,د・babelbiτ・59,1407849009976053832,1508073893217173644,https://discord.com/channels/799672011265015819/1407849009976053832/1508073893217173644,12,6,18,verified
ذ・bitsec・60,ذ・bitsec・60,1300553352274382848,1508073883251507220,https://discord.com/channels/799672011265015819/1300553352274382848/1508073883251507220,0,0,0,verified
ر・red-team・61,ر・red-team・61,1319313447435108413,1508073877195063316,https://discord.com/channels/799672011265015819/1319313447435108413/1508073877195063316,12,2,14,verified
ل・ridges・62,ل・ridges・62,1320812830735339580,1508073866667233290,https://discord.com/channels/799672011265015819/1320812830735339580/1508073866667233290,4,42,46,verified
س・enigma・63,س・enigma・63,1488231141126177040,1508073856911282338,https://discord.com/channels/799672011265015819/1488231141126177040/1508073856911282338,5,2,7,verified
ش・chutes・64,ش・chutes・64,1320739778534047785,1508073852012593192,https://discord.com/channels/799672011265015819/1320739778534047785/1508073852012593192,0,0,0,verified
ص・τpn・65,ص・τpn・65,1342275465267642408,1508073845704097903,https://discord.com/channels/799672011265015819/1342275465267642408/1508073845704097903,7,6,13,verified
ض・ninja・66,ض・ninja・66,1486739181093785600,1508073841820172390,https://discord.com/channels/799672011265015819/1486739181093785600/1508073841820172390,60,0,60,verified
ط・harnyx・67,ط・harnyx・67,1457737666316472351,1508073838448087162,https://discord.com/channels/799672011265015819/1457737666316472351/1508073838448087162,6,1,7,verified
ظ・nova・68,ظ・nova・68,1345470582161936405,1508073832538439810,https://discord.com/channels/799672011265015819/1345470582161936405/1508073832538439810,23,4,27,verified
ع・unclaimed・69,ع・unclaimed・69,1349118519198875778,1508073828130230413,https://discord.com/channels/799672011265015819/1349118519198875778/1508073828130230413,0,5,5,verified
