netuid,name,symbol,taoFlow,taoFlowBlock,burnEmissionPct,ownerEmission,totalNeuronEmission,subnetEmission,subnetEmissionPct,burnCost,taoIn,alphaIn,alphaOut,movingPrice,subnetVolume
17,404—GEN,ρ,-839.21697838,8258985,20.0,,0.0,0.0,0.0,0.0005,27320.787791031,2497391.019226812,2273181.30604629,0.010939113,319.732951591
18,Zeus,σ,-592.509166281,8258985,35.704585,,0.0,0.0,0.0,0.999999999,11472.772171839,2010085.703431788,2630189.810040579,0.005722807,265.918484907
19,blockmachine,t,-848.408876005,8258985,98.999008,,0.0,0.0,0.0,0.1,35316.881012938,2840394.904698689,1490404.448507361,0.012436462,199.494371703
20,GroundLayer,υ,-67.737976712,8258985,100.0,,0.0,0.0,0.0,0.0005,8350.127977357,2144641.316018905,1818279.632013068,0.003895706,122.31832839
21,AdTAO,φ,-58.888816966,8258985,100.0,,0.0,0.0,0.0,0.0005,8483.6469152,1860929.80634548,2631922.08240716,0.004556044,519.630058505
22,Desearch,χ,-82.264472688,8258985,82.973983,,0.0,0.0,0.0,0.0005,8946.480090723,2051007.937900607,2155270.853451921,0.004362449,123.391279169
23,Trishool,ψ,-731.04199666,8258985,100.0,,0.0,0.0,0.0,0.1,6674.535677092,1773211.220985585,2400773.856990884,0.003765715,498.214408815
24,Quasar,ω,265.160271287,8258985,100.0,,0.0,0.0,0.0,0.000682944,13937.563068888,1261081.208164744,3326581.966191146,0.010980914,2721.054384615
25,Mainframe,א,-310.673702109,8258985,100.0,,0.0,0.0,0.0,0.0005,10925.393066253,2392372.580171035,2119615.880131037,0.004567335,1853.238241692
26,Perturb,ב,-30.074730605,8258985,0.0,,5027434.0,0.010054868556,1.005487,0.5,2713.447778932,254463.127677319,392811.642479348,0.010663205,654.114624135
27,Nodexo,ג,-249.237731476,8258985,100.0,,0.0,0.0,0.0,0.0005,8291.868687207,2002718.486191152,2284347.673720372,0.004133973,1163.91904426
28,gm,ד,1027.257126263,8258985,100.0,,6687069.0,0.033931242009,3.393124,0.0005,16023.739891123,1186051.262823274,2859111.422692177,0.013374365,368.638976885
29,Coldint,ה,-862.559246585,8258985,0.0,,0.0,0.0,0.0,0.0005,10259.175730398,2424518.422355461,2129747.640443474,0.004223307,6.555285881
30,Pending,ו,-137.441290485,8258985,100.0,,2611168.0,0.009519233066,0.951923,0.0005,10351.654542282,1980483.416097938,2677549.281325983,0.005222365,1533.229242909
31,Recall,ז,-25.694600271,8258985,100.0,,1393838.0,0.002787677431,0.278768,0.0005,1553.428185964,364411.569524129,571194.76295414,0.004263435,660.006245354
32,ItsAI,ח,-437.835610568,8258985,0.0,,0.0,0.0,0.0,0.001279161,7965.800812576,2071535.042119453,3083745.086294554,0.003847051,347.842443573
33,ReadyAI,ט,344.694548947,8258985,91.224537,,0.0,0.0,0.0,0.00469606,17998.838833711,2381991.075694336,1647608.178484572,0.007579705,409.732649501
34,BitMind,י,-92.836204182,8258985,41.115435,,0.0,0.0,0.0,0.0005,35240.461885088,2721383.602105122,1740293.264185504,0.012948195,29.215287603
35,OxMarkets,ך,-15.60001256,8258985,0.0,,0.0,0.0,0.0,0.1,10146.015252371,1994088.663591714,2877472.768513239,0.005119514,485.336223207
36,Eirel,כ,-55.933216109,8258985,0.0,,3451442.0,0.008246278063,0.824628,0.1,1030.718132469,150001.779352668,219186.636555399,0.006871176,185.791158719
37,Aurelius,ל,-54.827828444,8258985,100.0,,0.0,0.0,0.0,0.0005,8571.063185317,2213233.80764121,2035290.520902408,0.003875264,34.185610657
38,colosseum,ם,197.378883896,8258985,100.0,,6476251.0,0.016002187691,1.600219,0.0005,3146.627996937,242586.682746762,625244.433418296,0.012952516,445.351273036
39,deprecated,מ,-152.249222411,8258985,95.045396,,0.0,0.0,0.0,0.0005,17094.513244688,2568726.982421052,1393584.157823783,0.006687387,181.373169675
40,Chunking,ן,-63.174305178,8258985,100.0,,0.0,0.0,0.0,0.0005,7057.430233726,2096004.44730044,2026886.232088427,0.003367845,453.308431945
41,Almanac,נ,41.705824725,8258985,79.685664,,0.0,0.0,0.0,0.1,13141.603644827,2246162.446218834,1863846.392239041,0.005938794,88.16540548
42,Unknown,ס,-96.407738907,8258985,100.0,,0.0,0.0,0.0,0.0005,8911.079987918,2453397.089473308,2208989.024115581,0.003632869,165.818265277
43,Graphite,ע,-60.957591887,8258985,96.256962,,0.0,0.0,0.0,0.1,14783.542051783,2577789.232172394,1933353.44439538,0.005732271,193.799615297
44,Score,ף,3063.971874211,8258985,69.575036,,23128996.0,0.124333337514,12.433334,0.0005,69678.989998044,1503573.477254059,3132309.670367547,0.046258691,1681.699395699
45,Talisman AI,פ,-181.182634628,8258985,99.490349,,0.0,0.0,0.0,0.0005,7769.557732351,2066719.785751837,2065612.846244287,0.003781637,293.532604923
